	study_name	sample_id	NCBI_accession	ftp_urls	url_counts
22079	XieH_2016	YSZC12003_37286	ERR912056	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912056/ERR912056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912056/ERR912056_2.fastq.gz	2
22080	XieH_2016	YSZC12003_37287	ERR912195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912195/ERR912195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912195/ERR912195_2.fastq.gz	2
22081	XieH_2016	YSZC12003_37292	ERR912153	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912153/ERR912153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912153/ERR912153_2.fastq.gz	2
22082	XieH_2016	YSZC12003_37293	ERR912121	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912121/ERR912121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912121/ERR912121_2.fastq.gz	2
22083	XieH_2016	YSZC12003_37296R1	ERR912057	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912057/ERR912057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912057/ERR912057_2.fastq.gz	2
22084	XieH_2016	YSZC12003_37297R1	ERR912058	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912058/ERR912058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912058/ERR912058_2.fastq.gz	2
22085	XieH_2016	YSZC12003_37298R1	ERR912154	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912154/ERR912154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912154/ERR912154_2.fastq.gz	2
22086	XieH_2016	YSZC12003_37299R1	ERR912059	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912059/ERR912059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912059/ERR912059_2.fastq.gz	2
22087	XieH_2016	YSZC12003_37304R1	ERR912060	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912060/ERR912060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912060/ERR912060_2.fastq.gz	2
22088	XieH_2016	YSZC12003_37305R1	ERR912061	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912061/ERR912061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912061/ERR912061_2.fastq.gz	2
22089	XieH_2016	YSZC12003_37308R1	ERR912062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912062/ERR912062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912062/ERR912062_2.fastq.gz	2
22090	XieH_2016	YSZC12003_37309R1	ERR912196	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912196/ERR912196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912196/ERR912196_2.fastq.gz	2
22091	XieH_2016	YSZC12003_37314	ERR912155	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912155/ERR912155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912155/ERR912155_2.fastq.gz	2
22092	XieH_2016	YSZC12003_37315	ERR912156	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912156/ERR912156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912156/ERR912156_2.fastq.gz	2
22093	XieH_2016	YSZC12003_37316	ERR912063	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912063/ERR912063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912063/ERR912063_2.fastq.gz	2
22094	XieH_2016	YSZC12003_37317	ERR912197	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912197/ERR912197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912197/ERR912197_2.fastq.gz	2
22095	XieH_2016	YSZC12003_37322	ERR912064	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912064/ERR912064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912064/ERR912064_2.fastq.gz	2
